alpha_error_original_definition,analysis_nrmse,case,device,forecast_coverage_90,forecast_crps,forecast_interval_width_90,forecast_nrmse,runtime_seconds,seed_index,variant
0.27578240794023523,0.05352867415462384,kol,cuda:2,0.6795857747395834,0.05220835551234565,0.2094761869136588,0.07499903183887913,4.0444996890146285,0,aug
0.04324702359007615,0.05534753060731087,kol,cuda:3,0.8294881184895834,0.05076417173245398,0.2875894005291572,0.07628082246600092,36.04631992196664,0,bma
0.021435211367898055,0.04459695530983763,kol,cuda:2,0.8267618815104166,0.03317444020368442,0.19569329501044364,0.048453080486959815,39.376051648985595,0,gate21
0.005424594422578255,0.045495991822374834,kol,cuda:3,0.8386501736111112,0.03384194149940947,0.20295147607059472,0.04980651906216059,21.79065098403953,0,gate_local
0.02143521685053773,0.04459687562587472,kol,cuda:3,0.8267618815104166,0.03317443519774237,0.19569238602187847,0.04845305343080967,39.88543165195733,0,grid21
0.021435013662296276,0.04459771075588933,kol,cuda:3,0.8268025716145834,0.03317447650026953,0.19570217712471719,0.04845328696956534,39.6070855371654,0,joint21
0.0032136461840840402,0.045616724229191004,kol,cuda:2,0.8453301323784722,0.033960764956498184,0.20603543240551547,0.04996387452406728,22.455309283919632,0,joint_local
0.02143521685053773,0.04459478078786947,kol,cuda:3,0.8267008463541666,0.033173168153381304,0.19567156688243117,0.048450057911789746,39.39971779589541,0,locked21
0.00545224335998773,0.0454801194034778,kol,cuda:2,0.8382364908854166,0.03383260083895326,0.2027315102867081,0.04978723798004276,21.839633530937135,0,locked_local
0.005452243181187644,0.04549097292443108,kol,cuda:3,0.83843994140625,0.03383952404901204,0.2028752602984666,0.04980170482122407,22.174182443879545,0,native
0.02143521685053773,0.044596925174977924,kol,cuda:2,0.8267618815104166,0.033174477779803216,0.19569284235408427,0.04845314920274321,40.10720479511656,0,snr21
0.029997513477447835,0.044461092126935164,kol,cuda:3,0.8229777018229166,0.033280541981798445,0.19574776226414384,0.04869955307463726,21.717889927094802,0,apce_short_window_L1
0.029997513477447835,0.04446109212693518,kol,cuda:3,0.8229777018229166,0.03328054198179853,0.19574776226414248,0.048699553074637435,12.158299170201644,0,apce_short_window_L2
0.029997513477447835,0.04446109212693518,kol,cuda:2,0.8229777018229166,0.03328054198179853,0.19574776226414248,0.048699553074637435,12.242870585992932,0,apce_short_window_L4
0.2098196312165319,0.05421532871769724,kol,cuda:3,0.3260158962673611,0.05161676571117861,0.0702400950787679,0.07215223299369428,4.101642820052803,1,aug
1.6689300497141346e-08,0.05304932886289418,kol,cuda:2,0.6407063802083334,0.03821506442160266,0.12205141673168352,0.06020565541655576,36.25800040317699,1,bma
0.021435216842728755,0.0433241346036006,kol,cuda:3,0.7224663628472222,0.021161576170051516,0.0827865146124141,0.03398265743213574,38.44193297205493,1,gate21
0.005452167090190363,0.04394888821296135,kol,cuda:2,0.7079739040798612,0.021850003057427257,0.08135215436991582,0.034811328428251916,21.720909602940083,1,gate_local
0.02143521685053773,0.043324131994634994,kol,cuda:2,0.7224663628472222,0.02116157537331305,0.08278650159036799,0.033982655654058475,39.087037676014006,1,grid21
0.02143520873399718,0.0433260416731457,kol,cuda:2,0.72247314453125,0.021162601173769544,0.08279056351812146,0.0339843543843066,38.89688497595489,1,joint21
0.00539687026991853,0.04399344517300589,kol,cuda:3,0.7095201280381944,0.02186271898031116,0.08170075775049038,0.034847963447865074,21.570970124797896,1,joint_local
0.02143521685053773,0.04332409029369611,kol,cuda:2,0.7224663628472222,0.02116154975991638,0.08278647724782631,0.033982616695186964,38.74295622622594,1,locked21
0.0054522433800336945,0.04394686212520039,kol,cuda:3,0.7079060872395834,0.02184954151687588,0.0813401416943434,0.03481004846963328,21.68925145594403,1,locked_local
0.0054522433800336945,0.04394819716501267,kol,cuda:3,0.7079332139756944,0.02184990693573581,0.08134574045437348,0.03481084113564392,21.623482084833086,1,native
0.02143521685053773,0.04332412624785882,kol,cuda:3,0.7224663628472222,0.021161572259132597,0.08278649287999167,0.03398265064790727,39.020133689045906,1,snr21
0.029997513477447835,0.043165510096858026,kol,cuda:3,0.7239990234375,0.02105241558446048,0.08324088289527472,0.0339269413784829,12.24170248885639,1,apce_short_window_L1
0.029997513477447835,0.043165510096858026,kol,cuda:2,0.7239990234375,0.02105241558446048,0.08324088289527472,0.0339269413784829,12.254270042059943,1,apce_short_window_L2
0.029997513477447835,0.043165510096858026,kol,cuda:3,0.7239990234375,0.02105241558446048,0.08324088289527472,0.0339269413784829,12.081334792077541,1,apce_short_window_L4
0.026927053157294045,0.036557274890846814,kol,cuda:2,0.7238294813368056,0.03398491626623455,0.13548411343433953,0.04530195944815336,5.597174210939556,2,aug
0.08399996423398381,0.032835748457398346,kol,cuda:3,0.8268703884548612,0.030295351363347593,0.15469105091002733,0.041440624490600736,36.08205551514402,2,bma
0.019973635055284822,0.02762845713993382,kol,cuda:2,0.8978339301215278,0.02325599346102306,0.14121111880375692,0.03166070777158543,49.413424242055044,2,gate21
0.0037225836715323313,0.027845122521467182,kol,cuda:3,0.8802625868055556,0.024163652984476692,0.13986160375935147,0.03307858714288985,21.601700351107866,2,gate_local
0.021435216717932137,0.027594506403149265,kol,cuda:3,0.8981594509548612,0.023118355256442565,0.14061084039819133,0.03147069345721566,39.665263656992465,2,grid21
0.04621733541694539,0.027524135028262335,kol,cuda:3,0.8613416883680556,0.02254354788654587,0.12470336960275624,0.030812043351509524,39.70921991299838,2,joint21
0.06880489328369266,0.0277040664064386,kol,cuda:2,0.85174560546875,0.02240016400890071,0.12137297584724853,0.030557764195657422,21.6924068860244,2,joint_local
0.021435216737339613,0.027586061536903357,kol,cuda:3,0.8984103732638888,0.0231614990517049,0.14091141325566298,0.03152885800436354,39.83964532613754,2,locked21
0.005448811697974509,0.027789448497582747,kol,cuda:2,0.8817070855034722,0.023688740674163586,0.13764853667019908,0.03248110186556241,23.156544660916552,2,locked_local
