all_pair_identity_passed,case,factor1_both_methods_support_shadow,factor1_median_joint_shadow_advantage,factor8_both_methods_support_shadow,factor8_median_joint_shadow_advantage,family,median_high_frequency_primary_advantage_gain,methods,nested_schedule_status,screen_rank
True,fhn,True,0.3552222270931493,True,0.16436639920106927,applied_ode,0.19085582789208003,2,passed,1
True,pk_infusion,True,0.29625584983996667,False,-0.037518807247313116,applied_ode,0.3098474978253506,2,passed,2
True,wave,True,0.01298125444130402,False,-0.00027311369440747847,classical,0.0132543681357115,2,passed,3
True,lorenz96,True,0.0019958279693338696,False,-0.0021971203971596336,high_dimensional,0.0035860835936749593,2,passed,4
True,chemical,False,0.024098910860323636,False,-0.0006376931617091449,applied_ode,0.025817584371558032,2,passed,5
True,meshrir_s1,False,-7.21449022279059e-05,False,-1.0919224791629056e-06,measured_field,-7.1052979748743e-05,2,passed,6
True,robertson,False,-0.0001405540267344464,False,-9.664506522891492e-06,applied_ode,-1.2258017294556125e-06,2,passed,7
True,kolmogorov_flow,False,-0.004160183811580947,False,0.0,high_dimensional,-0.00399319648505456,2,passed,8
True,viv_piv_1359,False,-0.00914892455514565,True,0.0004773608493111034,measured_field,-0.006378753812429517,2,passed,9
True,viv_piv_0556,False,-0.011888688942879286,False,-0.002390553235836229,measured_field,-0.008543973551574217,2,passed,10
True,viv_piv_0803,False,-0.012277813176869982,False,-0.0031738190188455653,measured_field,-0.00936507382459422,2,passed,11
True,viv_piv_0463,False,-0.012809732846276668,True,0.013020992908258238,measured_field,0.004687478258108122,2,passed,12
True,acoustic_tracking,False,-0.0198596231088592,True,0.016923740933097696,measured_tracking,-0.036783364041956895,2,passed,13
True,viv_piv_0679,False,-0.02293941383991028,False,-0.008344239508934198,measured_field,-0.014898369085569128,2,passed,14
True,spring,False,-0.0940708187339169,False,-0.04955443584342313,classical,-0.01695633182831277,2,passed,15
True,kuramoto_sivashinsky,False,-0.1532524985250986,False,-0.45376113247972844,high_dimensional,0.3199126994305156,2,passed,16
True,pendulum,False,-0.15805671042672248,False,-0.020339145325561976,applied_ode,-0.11436999073450874,2,passed,17
True,heat,False,-0.2822301790980763,True,0.027911466170035433,classical,-0.2689677209624445,2,passed,18
